date,China,Italy,Spain,Iran,Germany,USA,France,S. Korea,Switzerland,UK,Netherlands,Austria,Belgium,Norway,Sweden,Denmark,Malaysia,Portugal,Japan,Canada,Australia,Czechia,Diamond Princess,Israel,Brazil,Ireland,Pakistan,Greece,Luxembourg,Qatar,Finland,Chile,Poland,Iceland,Singapore,Indonesia,Ecuador,Turkey,Slovenia,Thailand,Romania,Bahrain,Estonia,Saudi Arabia,Egypt,Hong Kong,Russia,India,Peru,Philippines,South Africa,Iraq,Mexico,Lebanon,Kuwait,Colombia,San Marino,UAE,Panama,Slovakia,Armenia,Taiwan,Bulgaria,Argentina,Croatia,Serbia,Latvia,Uruguay,Vietnam,Algeria,Costa Rica,Hungary,Faeroe Islands,Brunei ,Andorra,Cyprus,Morocco,Sri Lanka,Dominican Republic,Albania,North Macedonia,Belarus,Jordan,Bosnia and Herzegovina,Moldova,Malta,Tunisia,Kazakhstan,Cambodia,Lithuania,Oman,Palestine,Guadeloupe,Azerbaijan,Georgia,Venezuela,Burkina Faso,New Zealand,Senegal,Uzbekistan,Martinique,Liechtenstein,Réunion,Ukraine,Afghanistan,Honduras,Bangladesh,Cameroon,DRC,Macao,Cuba,Jamaica,Bolivia,Ghana,Guyana,French Guiana,Guam,Maldives,Montenegro,Paraguay,Guatemala,Nigeria,Mauritius,Monaco,Channel Islands,French Polynesia,Rwanda,Gibraltar,Ivory Coast,Ethiopia,Togo,Trinidad and Tobago,Puerto Rico,Kenya,Seychelles,Equatorial Guinea,Kyrgyzstan,Mayotte,Mongolia,Tanzania,Aruba,Barbados,Saint Martin,Suriname,Cayman Islands,Curaçao,Gabon,Bahamas,CAR,Congo,Namibia,St. Barth,U.S. Virgin Islands,Sudan,Benin,Bermuda,Bhutan,Greenland,Guinea,Haiti,Isle of Man,Liberia,Mauritania,New Caledonia,Saint Lucia,Zambia,Nepal,Angola,Antigua and Barbuda,Cabo Verde,Chad,Djibouti,El Salvador,Fiji,Gambia,Vatican City,Montserrat,Nicaragua,Niger,Papua New Guinea,St. Vincent Grenadines,Sint Maarten,Somalia,Eswatini,World
27 Mar,3292,8215,4365,2234,267,1295,1696,131,192,578,434,49,220,14,77,41,23,60,47,39,13,9,10,8,77,19,9,27,9,0,5,4,16,2,2,78,34,75,6,4,23,4,1,3,24,4,3,20,9,45,0,36,6,6,0,6,21,2,9,0,1,2,3,12,3,7,0,0,0,25,2,10,0,0,3,3,11,0,10,6,3,0,0,3,1,0,5,1,0,4,0,1,1,3,0,1,7,0,0,0,1,0,0,5,4,1,5,1,3,0,2,1,0,4,1,0,-1,0,1,3,1,1,2,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,24073
28 Mar,3292,9134,4934,2378,338,1543,1995,139,231,759,546,58,289,19,92,52,26,76,47,53,13,9,10,12,92,22,10,28,15,0,7,5,16,2,2,87,36,92,9,5,26,4,1,3,30,4,4,20,9,54,1,40,8,8,0,6,21,2,9,0,1,2,3,13,3,8,0,0,0,26,2,10,0,0,3,5,21,0,20,8,3,0,0,4,2,0,6,1,0,5,0,1,1,3,0,1,9,0,0,1,1,0,0,5,4,1,5,2,3,0,2,1,0,4,1,0,-1,0,1,3,1,1,2,0,1,0,0,0,0,0,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,26935
29 Mar,3292,9134,4934,2378,338,1543,1995,139,231,759,546,58,289,19,92,52,26,76,47,53,13,9,10,12,92,22,10,28,15,0,7,5,16,2,2,87,36,92,9,5,26,4,1,3,30,4,4,20,9,54,1,40,8,8,0,6,21,2,9,0,1,2,3,13,3,8,0,0,0,26,2,10,0,0,3,5,21,0,20,8,3,0,0,4,2,0,6,1,0,5,0,1,1,3,0,1,9,0,0,1,1,0,0,5,4,1,5,2,3,0,2,1,0,4,1,0,-1,0,1,3,1,1,2,0,1,0,0,0,0,0,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,26935
30 Mar,3300,10779,6803,2640,541,2484,2606,152,300,1228,771,86,431,26,110,72,35,119,54,65,17,16,10,15,136,46,14,39,21,1,11,7,22,2,3,114,58,131,11,7,43,4,3,8,40,4,8,27,18,71,2,42,16,10,0,10,22,3,24,0,3,3,8,20,6,13,0,1,0,31,2,13,0,1,6,6,26,1,39,10,6,0,3,6,2,0,8,1,0,7,0,1,4,4,0,3,12,1,0,2,1,0,0,10,4,3,5,6,8,0,3,1,1,5,1,0,-1,0,1,3,1,1,3,1,2,0,0,0,1,0,1,3,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,33966
31 Mar,3305,11591,7716,2757,645,3164,3024,162,359,1408,864,108,513,32,146,77,37,140,56,92,19,23,10,16,165,54,21,46,22,1,13,8,31,2,3,122,62,168,11,9,65,4,3,8,41,4,9,32,24,78,3,46,28,11,0,14,25,5,27,0,3,5,8,24,6,16,0,1,0,35,2,15,0,1,8,7,33,2,42,11,7,0,5,10,2,0,9,1,0,7,0,1,4,4,0,3,12,1,0,2,1,0,0,13,4,7,5,6,8,0,4,1,4,5,1,0,-1,0,1,3,1,2,3,1,2,0,0,0,1,0,1,3,-1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,37814
01 Apr,3305,12428,8464,2898,775,3889,3523,165,433,1789,1039,128,705,39,180,90,43,160,66,101,20,31,10,20,201,71,26,49,23,2,17,12,33,2,3,136,79,214,15,10,82,4,4,10,46,4,17,35,30,88,5,50,29,12,0,16,26,6,30,0,3,5,8,27,6,23,0,1,0,44,2,16,0,1,12,8,36,2,51,15,9,1,5,13,4,0,10,2,0,8,1,1,4,5,0,3,14,1,0,2,3,0,0,17,4,7,5,6,8,0,6,2,7,5,2,0,-1,0,2,3,1,2,5,1,3,0,0,0,1,0,1,3,-1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,42151
